"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"2771470432","a5314860","0080e11500217524","S22C010351LA","0.979861","0.0","0.0","1","1","4001351098","-23.5607","-46.8171","1"
"3581233528","d5754978","0080e1150059886c","S22C004833LA","0.659375","0.0","0.0","9","4","4001351091","-23.5607","-46.8171","1"
"2643347976","9d8e4a08","0080e11500598743","S22C010598LA","0.823611","0.0","0.0","4","2","4001351090","-23.5607","-46.8171","1"
"408110220","1853448c","0080e11500598ba2","S22C004832LA","0.530208","0.0","0.0","12","3","4001351094","-23.5607","-46.8171","1"
"1968784995","75594663","0080e115002579f3","S22C004838LA","0.370313","0.0","0.0","18","10","4001351095","-23.5607","-46.8171","1"
"2872594088","ab384ea8","0080e1150059ab07","S22C011597LA","0.671181","0.0","0.0","8","3","4001351093","-23.5607","-46.8171","1"
"2952744629","afff4eb5","0080e11500256116","S22C004839LA","0.790104","0.0","0.0","6","3","4001351084","-23.5607","-46.8171","1"
"2145142820","7fdc4824","0080e11500598ba5","S22C010571LA","0.485243","0.0","0.0","14","7","4001351085","-23.5607","-46.8171","1"
"437276033","1a104d81","0080e1150059b20b","S22C010588LA","0.427257","0.0","0.0","16","9","4001351086","-23.5607","-46.8171","1"
"3247918201","c1974c79","0080e1150059b03e","S22C010544LA","0.0","0.0","0.0","30","30","4001351087","-23.5607","-46.8171","0"
"3309520791","c5434797","0080e11500598bad","S22C010528LA","0.414757","0.0","0.0","16","5","4001351088","-23.5607","-46.8171","1"
"3791014105","e1f648d9","0080e115005992be","S22C010550LA","0.658333","0.0","0.0","9","7","4001351089","-23.5607","-46.8171","1"
"919686328","36d14cb8","0080e11500559305","S22C004853LA","0.0574653","0.0","0.0","28","14","4001351065","-23.5607","-46.8171","1"
"4032121796","f0554bc4","0080e115005991e0","S22C010533LA","0.83559","0.0","0.0","4","2","4001351072","-23.5607","-46.8171","1"
"1421822301","54bf495d","0080e11500598a33","S22C010553LA","0.918056","0.0","0.0","2","1","4001351079","-23.5607","-46.8171","1"
"2957592843","b049490b","0080e115002579f4","S22C011596LA","0.484722","0.0","0.0","14","6","4001351081","-23.5607","-46.8171","1"
